SubjectId,SubjectCode
40700,BDT1ATN24-25
41202,ACA1801
41204,ITA0543
41205,ECA4711
41206,ECA0335
41207,ECA0244
41208,ECA0835
41209,CSA0378
41210,BMA0401
41211,ECA0731
41212,ECA4715
41213,BMA1201
41214,ECA0732
41215,ECA0836
41216,ECA0602
41217,ECA4710
41218,ECA0427
41219,ECA0939
41220,ECA0142
41221,BMA3301
41222,ECA1142
41223,ECA1279
41224,ECA1282
41225,ECA0837
41226,ECA3134
41227,ECA5621
41229,ECA1461
41231,DSA0134
41232,ECA0245
41233,ECA0938
41235,CSA0543
41236,ECA1466
41237,ECA1283
41238,ECA1143
41239,ECA1459
41240,ECA1086
41241,ECA1290
41242,ECA0940
41243,DSA0235
41244,ECA1467
41245,DSA0364
41246,ECA0139
41248,ECA0140
41249,DSA0365
41250,DSA0421
41251,ECA1458
41252,BIA3604
41253,ITA0660
41254,CSA1679
41255,CSA1561
41256,CSA0465
41257,CSA1557
41258,ITA0661
41259,BIA3605
41260,CSA1558
41261,BIA1008
41262,ECA1335
41263,CSA0712
41264,DSA0619
41265,ECA5622
41266,ECA1856
41267,CSA1062
41268,ECA1855
41269,CSA0711
41270,MLA0112
41271,CSA0546
41272,CSA0544
41273,CSA0643
41274,ECA1854
41275,MLA0409
41276,ITA0440
41277,BIA0613
41278,CSA0815
41279,CSA0545
41280,BIA3606
41281,CSA0817
41282,DSA0138
41283,ECA1334
41284,CSA0380
41285,BIA1007
41286,CSA0819
41287,DSA0367
41288,ECA4717
41289,CSA0272
41290,CSA0641
41291,CSA0277
41292,CSA0464
41293,CSA1064
41294,CSA0273
41295,CSA1065
41296,CSA1071
41297,CSA4351
41298,CSA5160
41299,UBA4990
41300,EEA0179
41301,DSA0513
41302,CSA1559
41303,CSA1063
41304,CSA0278
41305,CSA0968
41306,CSA1205
41307,DSA0135
41308,ITA1436
41309,EEA0178
41310,CSA5162
41311,CSA0821
41312,EEA0202
41313,DSA0620
41314,EEA0201
41316,ECA1333
41317,CSA5161
41318,EEA0176
41319,CSA0275
41320,CSA0814
41321,BMA0301
41322,MEA0603
41323,CSA1333
41324,CSA1450
41327,EEA0174
41329,CSA1449
41331,CSA0820
41332,UBA1075
41333,ITA0216
41334,CSA0650
41335,UBA0944
41336,CSA1332
41337,CSA0468
41338,MEA0701
41339,UBA1077
41340,ECA1457
41341,UBA0460
41342,CSA4743
41343,CSA0644
41344,UBA5334
41345,CSA1148
41346,CSA1146
41347,CSA1678
41348,EEA0535
41349,CSA1670
41350,DSA0137
41351,EEA0177
41352,EEA0803
41353,EEA0901
41354,UBA0103
41355,ITA0546
41356,CSA5166
41357,CSA0970
41358,EEA0536
41359,CSA1147
41360,UBA1111
41361,UBA0682
41362,CSA1784
41363,UBA0461
41364,UBA4831
41365,EEA0175
41366,ECA0141
41367,ECA1460
41368,CSA1448
41369,CSA0651
41370,EEA0204
41372,ECA1558
41373,MLA0320
41374,UBA5336
41375,BTA0601
41376,BTA3003
41377,BTA1701
41378,CSA0818
41379,CSA0645
41380,ITA1435
41381,UBA5335
41382,BTA1202
41383,CSA1671
41384,BTA3605
41385,ITA0663
41386,CSA1672
41387,UBA2836
41389,CSA5159
41390,CSA0467
41391,CSA0382
41392,BTA3202
41393,BTA0602
41394,CSA1451
41395,UBA0530
41396,CSA0379
41397,UBA2835
41398,CSA0381
41400,BTA0124
41401,BTA0125
41402,MEA1603
41403,BTA0603
41404,UBA0945
41405,CSA3719
41406,BTA1201
41407,BTA0201
41408,UBA0104
41409,UBA0462
41411,UBA0681
41412,UBA2937
41413,UBA2936
41415,UBA2938
41416,CSA0974
41417,EEA0173
41418,CEA0701
41419,UBA2935
41420,CEA1201
41421,CEA1701
41422,CEA3401
41424,CEA6501
41425,BIA0101
41428,AEA3704
41429,BTA1001
41447,ENA0501
41448,CEA0901
41449,CSA0652
41450,CSA0973
41452,MEA2001
41453,UBA0946
41456,EDM0801
41475,ITA0438
41478,ITA0662
41480,CSA4352
41482,CSA1673
41484,CSA1067
41485,MEA0704
41505,DSA0515
41506,BMA0903
41507,ITA0218
41509,CSA1070
41512,CSA1152
41513,CSA1153
41516,UBA5337
41519,ITA0665
41522,UBA4991
41523,CSA0653
41525,UBA1078
41526,UBA4992
41528,UBA4833
41529,UBA0687
41530,UBA0464
41531,UBA4837
41532,ECA1465
41533,UBA0947
41534,UBA0948
41536,UBA5338
41537,UBA0685
41538,UBA0465
41550,UBA4993
41552,UBA1115
41553,UBA0686
41565,UBA1079
41570,UBA4834
41575,UBA1114
41612,ECA1469
41705,MLA0223
41706,CSA5168
41709,UBA2837
41710,ITA0666
